test,requests,clients,pipeline,value_size,seconds,ops_per_sec,p50_us,p95_us,p99_us,max_us,mean_us,errors
get,100000,16,1,32,2.60785,38345.8,376,734,1297,7971,396.12,0
get,100000,16,2,32,2.90243,34453.9,395,823,1638,9116,457.727,0
get,100000,16,4,32,1.93285,51737,309,474,984,4955,297.517,0
get,100000,16,8,32,2.05738,48605.6,311,584,993,2028,317.964,0
get,100000,16,16,32,2.30294,43422.7,327,681,1076,1873,356.182,0
get,100000,16,32,32,2.56093,39048.4,386,689,986,1417,397.16,0
get,100000,16,64,32,2.81684,35500.7,417,706,993,1252,432.702,0
get,100000,16,128,32,2.55734,39103.1,361,711,876,1353,387.038,0
