test,requests,clients,pipeline,value_size,seconds,ops_per_sec,p50_us,p95_us,p99_us,max_us,mean_us,errors
get,50000,1,1,32,1.84487,27102.2,29,69,107,1898,35.6506,0
get,50000,2,1,32,1.22193,40919,38,86,134,1223,46.2807,0
get,50000,4,1,32,0.921675,54249,57,110,152,578,63.1993,0
get,50000,8,1,32,0.903858,55318.4,106,225,321,941,121.856,0
get,50000,16,1,32,0.874539,57173,232,461,678,1891,255.312,0
get,50000,32,1,32,0.870763,57420.9,492,929,1232,2365,545.414,0
get,50000,64,1,32,0.787625,63482,941,1356,1765,3627,985.057,0
get,50000,128,1,32,0.819488,61013.7,1956,2752,3159,8555,2065.46,0
