test,requests,clients,pipeline,value_size,seconds,ops_per_sec,p50_us,p95_us,p99_us,max_us,mean_us,errors
set,30000,16,1,8,0.452871,66244.1,208,407,494,2213,223.128,0
set,30000,16,1,64,0.522076,57462.9,228,491,744,2484,260.114,0
set,30000,16,1,512,0.555657,53990.2,234,547,824,1882,273.571,0
set,30000,16,1,4096,0.584512,51324.9,244,541,902,3180,287.488,0
set,30000,16,1,16384,0.839602,35731.2,370,806,1210,3494,414.538,0
